-----------------------
  t/c    Airfoil       
-----------------------
 1.000   airfoil_1                       
 0.941   airfoil_2                       
 0.764   airfoil_3                       
 0.577   airfoil_4                       
 0.464   airfoil_5                       
 0.411   airfoil_6                       
 0.367   airfoil_7                       
 0.316   airfoil_8                       
 0.288   airfoil_9                       
 0.247   airfoil_10                      
 0.242   airfoil_11                      
 0.240   airfoil_12                      
 0.240   airfoil_13                      
 0.240   airfoil_14                      
 0.240   airfoil_15                      
-----------------------
 
 
airfoil_1                       Re:  1.00E+06
-----------------------------------
  alfa      cl       cd       cm   
  21.50   0.7476   0.4923  -0.0533
  22.00   0.7473   0.4887  -0.0547
  22.50   0.7471   0.4854  -0.0561
  23.00   0.7469   0.4824  -0.0574
  23.50   0.7467   0.4798  -0.0588
  24.00   0.7465   0.4775  -0.0601
  24.50   0.7463   0.4758  -0.0614
  25.00   0.7461   0.4745  -0.0626
  26.00   0.7461   0.4737  -0.0650
  27.00   0.7469   0.4818  -0.0671
  28.00   0.7467   0.4958  -0.0686
  29.00   0.7465   0.5099  -0.0697
  30.00   0.7463   0.5240  -0.0707
  31.00   0.7461   0.5381  -0.0718
  32.00   0.7459   0.5522  -0.0733
  33.00   0.7458   0.5657  -0.0754
  34.00   0.7457   0.5795  -0.0786
  35.00   0.7456   0.5933  -0.0826
  36.00   0.7456   0.6072  -0.0867
  37.00   0.7457   0.6211  -0.0904
  38.00   0.7494   0.6366  -0.0933
  39.00   0.7610   0.6553  -0.0956
  40.00   0.7747   0.6751  -0.0977
  42.50   0.8124   0.7269  -0.1022
  45.00   0.8519   0.7802  -0.1068
  47.50   0.8946   0.8360  -0.1125
  50.00   0.9719   0.9193  -0.1151
  52.50   1.0681   1.0150  -0.1161
  55.00   1.0432   1.0088  -0.1231
  57.50   0.8825   0.9327  -0.1267
  60.00   0.7000   0.8500  -0.1299
  62.50   0.5499   0.7999  -0.1330
  65.00   0.4000   0.7500  -0.1359
  67.50   0.2496   0.6999  -0.1386
  70.00   0.1000   0.6500  -0.1410
  72.50   0.0313   0.6188  -0.1431
  75.00   0.0000   0.6000  -0.1449
  77.50  -0.0002   0.5999  -0.1464
  80.00   0.0000   0.6000  -0.1477
  82.50   0.0000   0.6000  -0.1487
  85.00   0.0000   0.6000  -0.1494
  87.50   0.0000   0.6000  -0.1498
  90.00   0.0000   0.6000  -0.1500
  92.50   0.0000   0.6000  -0.1498
  95.00   0.0000   0.6000  -0.1494
  97.50   0.0000   0.6000  -0.1487
 100.00   0.0000   0.6000  -0.1477
 102.50   0.0000   0.6000  -0.1464
 105.00   0.0000   0.6000  -0.1449
 107.50   0.0000   0.6000  -0.1431
 110.00   0.0000   0.6000  -0.1410
 112.50   0.0000   0.6000  -0.1386
 115.00   0.0000   0.6000  -0.1359
 117.50   0.0000   0.6000  -0.1330
 120.00   0.0000   0.6000  -0.1299
 122.50   0.0000   0.6000  -0.1265
 125.00   0.0000   0.6000  -0.1229
 127.50   0.0000   0.6000  -0.1190
 130.00   0.0000   0.6000  -0.1149
 132.50   0.0000   0.6000  -0.1106
 135.00   0.0000   0.6000  -0.1061
 137.50   0.0000   0.6000  -0.1013
 140.00   0.0000   0.6000  -0.0964
 142.50   0.0000   0.6000  -0.0913
 145.00   0.0000   0.6000  -0.0860
 147.50   0.0000   0.6000  -0.0806
 150.00   0.0000   0.6000  -0.0750
 152.50   0.0000   0.6000  -0.0693
 155.00   0.0000   0.6000  -0.0634
 157.50   0.0000   0.6000  -0.0574
 160.00   0.0000   0.6000  -0.0513
 162.50   0.0000   0.6000  -0.0451
 165.00   0.0000   0.6000  -0.0388
 167.50   0.0000   0.6000  -0.0324
 170.00   0.0000   0.6000  -0.0260
 172.50   0.0000   0.6000  -0.0196
 175.00   0.0000   0.6000  -0.0131
 177.50   0.0000   0.6000  -0.0066
 180.00   0.0000   0.6000   0.0000
-----------------------------------
 
 
airfoil_3                       Re:  1.00E+06
-----------------------------------
  alfa      cl       cd       cm   
-----------------------------------
-180.00   0.0000   0.0010   0.0000
-177.50   0.0850   0.0131   0.0089
-175.00   0.1684   0.0344   0.0178
-172.50   0.2504   0.0656   0.0266
-170.00   0.3303   0.1050   0.0353
-167.50   0.4078   0.1516   0.0439
-165.00   0.4824   0.2045   0.0525
-162.50   0.5537   0.2629   0.0610
-160.00   0.6213   0.3257   0.0694
-157.50   0.6848   0.3921   0.0777
-155.00   0.7437   0.4611   0.0860
-152.50   0.7977   0.5319   0.0942
-150.00   0.8462   0.6036   0.1024
-147.50   0.8889   0.6748   0.1105
-145.00   0.9253   0.7458   0.1185
-142.50   0.9550   0.8145   0.1265
-140.00   0.9777   0.8804   0.1344
-137.50   0.9928   0.9424   0.1422
-135.00   1.0000   1.0000   0.1500
-132.50   0.9989   1.0520   0.1577
-130.00   0.9898   1.0988   0.1653
-127.50   0.9730   1.1402   0.1728
-125.00   0.9487   1.1763   0.1801
-122.50   0.9173   1.2073   0.1873
-120.00   0.8790   1.2334   0.1943
-117.50   0.8343   1.2546   0.2010
-115.00   0.7833   1.2710   0.2074
-112.50   0.7264   1.2828   0.2135
-110.00   0.6639   1.2901   0.2193
-107.50   0.5962   1.2930   0.2248
-105.00   0.5235   1.2917   0.2298
-102.50   0.4461   1.2861   0.2344
-100.00   0.3643   1.2765   0.2385
 -97.50   0.2785   1.2630   0.2422
 -95.00   0.1890   1.2457   0.2454
 -92.50   0.0960   1.2246   0.2480
 -90.00   0.0000   1.2000   0.2500
 -87.50  -0.0990   1.1719   0.2514
 -85.00  -0.1994   1.1407   0.2522
 -82.50  -0.3008   1.1065   0.2524
 -80.00  -0.4020   1.0698   0.2519
 -77.50  -0.5019   1.0308   0.2507
 -75.00  -0.6000   0.9898   0.2489
 -72.50  -0.6947   0.9471   0.2464
 -70.00  -0.7853   0.9030   0.2431
 -67.50  -0.8707   0.8577   0.2391
 -65.00  -0.9499   0.8117   0.2343
 -62.50  -1.0219   0.7652   0.2287
 -60.00  -1.0858   0.7184   0.2224
 -57.50  -1.1406   0.6718   0.2153
 -55.00  -1.1852   0.6253   0.2073
 -52.50  -1.2186   0.5796   0.1985
 -50.00  -1.2399   0.5348   0.1888
 -47.50  -1.2481   0.4913   0.1782
 -45.00  -1.2421   0.4493   0.1668
 -42.50  -1.2159   0.4099   0.1542
 -40.00  -1.1837   0.3712   0.1412
 -37.50  -1.1293   0.3356   0.1270
 -35.00  -1.0567   0.3027   0.1117
 -32.50  -0.9653   0.2729   0.0956
 -30.00  -0.8533   0.2463   0.0784
 -29.00  -0.8027   0.2366   0.0712
 -28.00  -0.7487   0.2276   0.0639
 -27.00  -0.6852   0.2190   0.0558
 -26.00  -0.6300   0.2114   0.0488
 -25.00  -0.6105   0.2094   0.0460
 -24.00  -0.5914   0.2074   0.0433
 -23.00  -0.5721   0.2054   0.0405
 -22.00  -0.5528   0.2035   0.0378
 -21.00  -0.5335   0.2015   0.0351
 -20.00  -0.5143   0.1995   0.0324
 -19.00  -0.4950   0.1975   0.0296
 -18.00  -0.4757   0.1955   0.0269
 -17.00  -0.4564   0.1935   0.0241
 -16.00  -0.4371   0.1916   0.0214
 -15.00  -0.4178   0.1896   0.0186
 -14.50  -0.4081   0.1886   0.0172
 -14.00  -0.3985   0.1876   0.0159
 -13.50  -0.3889   0.1866   0.0145
 -13.00  -0.3792   0.1856   0.0132
 -12.50  -0.3696   0.1846   0.0118
 -12.00  -0.3599   0.1836   0.0104
 -11.50  -0.3503   0.1826   0.0090
 -11.00  -0.3407   0.1816   0.0077
 -10.50  -0.3310   0.1807   0.0063
 -10.00  -0.3214   0.1797   0.0049
  -9.50  -0.3117   0.1787   0.0036
  -9.00  -0.3021   0.1777   0.0022
  -8.50  -0.2924   0.1767   0.0008
  -8.00  -0.2828   0.1757  -0.0005
  -7.50  -0.2731   0.1747  -0.0019
  -7.00  -0.2635   0.1737  -0.0033
  -6.50  -0.2539   0.1727  -0.0047
  -6.00  -0.2442   0.1717  -0.0060
  -5.50  -0.2346   0.1707  -0.0074
  -5.00  -0.2249   0.1697  -0.0088
  -4.50  -0.2153   0.1688  -0.0101
  -4.00  -0.2056   0.1678  -0.0115
  -3.50  -0.1960   0.1668  -0.0129
  -3.00  -0.1863   0.1658  -0.0143
  -2.50  -0.1767   0.1648  -0.0156
  -2.00  -0.1670   0.1638  -0.0170
  -1.50  -0.1574   0.1628  -0.0184
  -1.00  -0.1478   0.1618  -0.0197
  -0.50  -0.1381   0.1608  -0.0211
   0.00  -0.1285   0.1598  -0.0225
   0.50  -0.1188   0.1588  -0.0238
   1.00  -0.1092   0.1578  -0.0252
   1.50  -0.0995   0.1568  -0.0266
   2.00  -0.0899   0.1558  -0.0280
   2.50  -0.0803   0.1549  -0.0294
   3.00  -0.0706   0.1539  -0.0307
   3.50  -0.0610   0.1529  -0.0321
   4.00  -0.0513   0.1519  -0.0334
   4.50  -0.0416   0.1509  -0.0348
   5.00  -0.0325   0.1499  -0.0361
   5.50  -0.0255   0.1489  -0.0375
   6.00  -0.0202   0.1478  -0.0389
   6.50  -0.0161   0.1468  -0.0402
   7.00  -0.0123   0.1457  -0.0416
   7.50  -0.0084   0.1447  -0.0429
   8.00  -0.0037   0.1436  -0.0443
   8.50   0.0025   0.1426  -0.0456
   9.00   0.0108   0.1416  -0.0470
   9.50   0.0219   0.1406  -0.0484
  10.00   0.0363   0.1397  -0.0498
  10.50   0.0548   0.1388  -0.0512
  11.00   0.0779   0.1380  -0.0526
  11.50   0.1079   0.1428  -0.0555
  12.00   0.1489   0.1543  -0.0602
  12.50   0.1990   0.1695  -0.0658
  13.00   0.2556   0.1873  -0.0720
  13.50   0.3162   0.2065  -0.0787
  14.00   0.3783   0.2263  -0.0856
  14.50   0.4393   0.2454  -0.0925
  15.00   0.4967   0.2630  -0.0990
  15.50   0.5480   0.2778  -0.1050
  16.00   0.5908   0.2889  -0.1102
  16.50   0.6260   0.2968  -0.1147
  17.00   0.6557   0.3023  -0.1187
  17.50   0.6821   0.3062  -0.1224
  18.00   0.7072   0.3094  -0.1261
  18.50   0.7332   0.3126  -0.1299
  19.00   0.7622   0.3168  -0.1341
  19.50   0.7964   0.3227  -0.1389
  20.00   0.8378   0.3312  -0.1444
  20.50   0.8893   0.3411  -0.1511
  21.00   0.9489   0.3519  -0.1589
  21.50   1.0131   0.3638  -0.1671
  22.00   1.0785   0.3771  -0.1755
  22.50   1.1419   0.3917  -0.1837
