             Time[s]        Azimuth[deg]         Power[Watt]      Axial_Force[N]
             33.4745            248.0062      0.73446848E+06      0.45005212E+06
             33.5484            251.7325      0.73447444E+06      0.45005221E+06
             33.6223            255.4588      0.73451414E+06      0.45005225E+06
             33.6962            259.1851      0.73451743E+06      0.45005225E+06
             33.7701            262.9113      0.73452175E+06      0.45005220E+06
             33.8439            266.6376      0.73452507E+06      0.45005209E+06
             33.9178            270.3639      0.73452717E+06      0.45005200E+06
             33.9917            274.0902      0.73454421E+06      0.45005173E+06
             34.0656            277.8165      0.73454319E+06      0.45005143E+06
             34.1395            281.5428      0.73454320E+06      0.45005110E+06
             34.2134            285.2690      0.73454861E+06      0.45005094E+06
             34.2873            288.9953      0.73453769E+06      0.45005082E+06
             34.3612            292.7216      0.73455365E+06      0.45005057E+06
             34.4351            296.4479      0.73455685E+06      0.45005039E+06
             34.5090            300.1742      0.73441775E+06      0.45007909E+06
             34.5829            303.9005      0.73450498E+06      0.45007901E+06
             34.6568            307.6267      0.73450619E+06      0.45007889E+06
             34.7307            311.3530      0.73450281E+06      0.45007877E+06
             34.8046            315.0793      0.73450199E+06      0.45007856E+06
             34.8785            318.8056      0.73450274E+06      0.45007840E+06
             34.9524            322.5319      0.73450509E+06      0.45007817E+06
             35.0263            326.2581      0.73451140E+06      0.45007791E+06
             35.1002            329.9844      0.73450026E+06      0.45007774E+06
             35.1741            333.7107      0.73445918E+06      0.45005109E+06
